Nazwa_dania;Produkty;Kalorie;Białko;Punkty;Tabu
Bułki z pomidorem;[[Bułka,2,0],[Masło,20],[Pomidor,1,0]];755.2;11.06;-2.0;0
Banan;[[Banan,1,0]];90.0;1.1;-3.0;0
Bułki z awokado;[[Awokado,1,0],[Bułka,2,0],[Masło,20]];895.2;12.18;-17.98;0
Bułki z pomidorem i mozarella;[[Pomidor,1,0],[Mozarella,1,0],[Bułka,2,0],[Masło,20]];1002.2;39.059999999999995;-8.4;0
Gruszka;[[Gruszka,1,0]];57.0;0.4;-1.2;0
Mango;[[Mango,1,0]];59.8;0.8;-11.0;0
Granat;[[Granat,1,0]];82.7;1.67;-5.0;0
Jogobella truskawkowa;[[Jogobella truskawkowa,1,0]];100.0;4.0;-4.0;0
Jogobella wiśniowa;[[Jogobella wiśniowa,1,0]];100.0;4.0;-4.0;0
Jogurt naturalny;[[Jogurt naturalny,1,0];2.8000000000000003;0.043;-3.98;0
