Nazwa_dania;Produkty;Kalorie;Białko;Punkty;Tabu
Pieczona owsianka brownie;[[Płatki owsiane,100],[Mleko,440],[Kakao,30],[Cukier,30],[Masło orzechowe,30],[Maliny,200],[Syrop klonowy,15]];1110.25;44.36;-77.74;0
Szakszuka;[[Pomidor,2,0],[Masło,7],[Czosnek,2,0],[Jajka,4,0]];972.22;65.82300000000001;-3.98;0
Owsianka z owocami;[[Płatki owsiane,200],[Jogurt naturalny,180],[Syrop klonowy,30],[Maliny,200]];1393.5;37.14;-75.94;0
Kanapki z awokdao;[[Jajka,2,0],[Chleb,4,0],[Awokado,1,0],[Majonez,30]];1163.3;64.3;-28.96;0
Pancakes;[[Serek homogenizowany,200],[Jajka,2,0],[Mąka tortowa,100],[Soda oczyszczona,5],[Czekolada mleczna,50]];1104.0;72.8;-19.42;0
Parówki z kanapkami;[[Parówki,3,0],[Chleb,3,0],[Masło,15],[Keczup,20]];902.3;46.894999999999996;-17.18;0
Kanapki z szynką i serem;[[Chleb,4,0],[Szynka,4,0],[Ser żółty,40],[Keczup,20],[Masło,15]];992.3;130.39499999999998;-19.16;0
Kanapki z mozarellą i pomidorami;[[Chleb,4,0],[Mozarella,1,0],[Pomidor,1,0],[Masło,15]];898.9;65.015;-6.4;0
Jajecznica;[[Jajka,4,0],[Pomidor,1,0],[Masło,30],[Ser żółty,50]];869.3;65.65;0;0
Płatki z mlekiem;[[Mleko,340],[Płatki owsiane,200]];896.0;38.56;-5.78;0
Panini z szynką i serem;[[Chleb,4,0],[Mozarella,1,0],[Szynka parmeńska,2,0],[Pomidor,1,0],[Oliwa,10]];1145.41;116.88;-24.18;0
